shop_id,shop_name,shop_location,shop_type,established_year,owner,contact_email,country
2,Ryan-Wilson,Michelleville,Outlet,2011,Williams-Frank,kyliebates@peterson.com,Italy
25,Sims-Kirby,West Sandrashire,Retail,2000,Bryant PLC,russell73@castillo.com,USA
32,Moore and Sons,Lake Joy,Online,2016,Abbott and Sons,martinethan@atkins-palmer.com,UK
44,Brown-Rodriguez,North Taraland,Retail,2012,Smith and Sons,sharon98@parker.com,Italy
37,"Carr, Morris and Farmer",Martinborough,Online,1986,Mcgee Group,lgray@lynch.com,Brazil
7,Patterson and Sons,West Chase,Outlet,1983,Ray Group,nwade@norris-jones.com,Canada
32,Rivera-Charles,Port Darinfort,Outlet,1999,Steele Group,kingblake@wall.net,Brazil
18,Arroyo LLC,East Sharon,Retail,1982,Smith-Dawson,davislaurie@bowen.com,Italy
12,Hayes-Robinson,Port Walterburgh,Online,2017,Roman PLC,charlesgreen@whitehead-montes.com,China
7,"Sanchez, Blankenship and Clark",Kimberlyville,Retail,1980,"Pollard, Stephenson and Baker",christophermalone@wagner.info,China
40,Garcia-Cox,North Robert,Online,2024,"Lynch, Gentry and Fletcher",umclean@stephens.com,China
15,"Porter, Fowler and Williams",Dicksonmouth,Retail,1972,"Morris, Stewart and Martin",margaret71@floyd.org,Brazil
50,Blackburn-Parker,East Elizabeth,Outlet,2002,Hale and Sons,troberts@smith-austin.com,USA
43,Smith Inc,Hensonton,Online,1980,Brown LLC,jessica11@stokes.com,France
41,Cook-Greer,Johnsonfort,Outlet,2019,Roberts-Carr,michaelpoole@barnes.com,France
2,Eaton-Townsend,Port Kent,Outlet,2010,Bowen LLC,andrewsalazar@chavez.org,Italy
47,Phillips-Myers,New Thomasview,Online,1987,Kirk PLC,tiffany94@haynes.net,France
19,Hobbs-Washington,South Jamesburgh,Online,2016,"Serrano, Hill and Watson",slucas@livingston.info,Canada
22,Mclaughlin PLC,Collinsshire,Online,2021,Collier Inc,peckerin@glover.com,Italy
33,Davis LLC,Owenston,Online,1991,"Rios, Ashley and Kennedy",imartinez@whitney.info,Brazil
37,Woodward PLC,Lake Austin,Retail,1977,Rogers-Butler,brittanybryant@moore-johnson.info,USA
43,Wilson-Sutton,Jordanberg,Outlet,2019,"Evans, Horne and Warren",john71@tucker.net,Italy
7,Harris LLC,West Linda,Online,1985,Lee-Bowman,craigjonathan@adams-sims.com,UK
38,Perez PLC,New Jennifershire,Retail,2012,Dorsey-Thompson,pcase@larson-collins.net,France
16,"Moran, Blackwell and Howard",Port Jeffrey,Outlet,1980,Black-Torres,james32@mendoza-beasley.net,France
15,Price-Esparza,Deborahmouth,Retail,2016,Lyons Group,nortiz@williams.info,USA
37,Gutierrez PLC,North Alexis,Online,1987,Jones Inc,martin04@garcia-russell.com,Japan
49,Steele and Sons,Port Carrie,Outlet,1996,Holloway-Nichols,lisadavis@chavez-richard.com,USA
20,"Wright, Mason and Mack",Velazquezmouth,Outlet,2022,Liu Group,rodriguezderek@hill-martinez.com,Canada
11,Peterson-Mason,New Brandon,Outlet,2005,"Lee, Burns and Watson",nharrison@payne-park.com,UK
8,"Luna, Moody and Oliver",Leslieville,Retail,2022,Schneider and Sons,dferguson@lopez-burgess.com,France
2,Lopez PLC,West Michaelfort,Retail,1991,Cunningham-Morris,cynthia17@bowman.com,Japan
48,Parks and Sons,Leahbury,Online,1971,Castro Ltd,ronald45@brown-kaiser.com,Brazil
45,Gutierrez-Atkins,North Christianton,Retail,1991,"Collier, Reese and Gilmore",brittany49@flowers.net,Japan
14,Taylor Group,Montoyaberg,Retail,1975,Mcgee-Case,ranthony@carter-andrade.com,China
42,Soto Inc,Thomasland,Outlet,1978,Rice Group,brenda77@thomas.org,Japan
39,Wilkins Group,Paynemouth,Outlet,2007,Williams Inc,cheryl23@may.biz,Canada
39,"Rosario, Wolf and Cisneros",Lake Johnville,Outlet,2009,Allen Inc,banksjames@robinson.net,China
27,Wood Inc,Dawnfurt,Outlet,1978,"Nguyen, Jones and Williams",jennifer21@benton-mitchell.info,Canada
43,Webster-Santos,North David,Outlet,1980,Lawrence-Black,kathrynespinoza@smith.com,France
22,"Williams, Gordon and Scott",West Mark,Online,1978,"Harrell, Neal and Oconnor",robert57@parker.com,Australia
8,"Johnson, Wright and Wilson",Lake James,Outlet,1990,Phillips-Bridges,vharvey@mcclain.com,France
46,Diaz and Sons,Kristinton,Retail,2007,Clay-Fernandez,davidmiller@rivera.com,China
42,Schmidt Inc,North Dylanport,Online,1972,Garcia-Lawson,drakefrederick@kim.org,USA
12,"George, Leach and Garcia",New Dustinberg,Outlet,1970,"Johnson, Robinson and Green",zwashington@nelson.org,Canada
36,Mccullough-Turner,Robinsonside,Retail,1998,Barnes and Sons,harmonlisa@pearson.com,France
33,"Jones, Love and Kelly",West Ryan,Retail,1973,"Lester, Reynolds and Torres",rponce@riley-fuller.com,Germany
5,Williams PLC,Alyssachester,Online,1983,Brown-Mack,qwhitney@forbes-burke.org,China
17,"Chapman, Fields and Mitchell",Scottshire,Online,1975,Graham-Christensen,jimenezalexandra@conner-smith.org,Brazil
44,"Parker, Russell and Walton",Hofurt,Retail,1984,Mcmahon-Smith,deanjackie@butler.com,USA
